question1,question2
Which laptop should I buy under 60k?,Which laptop should I buy under 60000?
How is the word 'furtive' used in a sentence?,How is the word 'prestidigitation' used in a sentence?
What are logical fallacies?,What are five logical fallacies?
How can I get cosmic energy purely?,What is cosmic energy?
What are some examples of 'Presence of Mind'?,What are some of the examples of presence of mind?
Should I stop trying?,When should one stop trying?
How do you give yourself a Brazilian wax?,How much do Brazilian Waxes hurt? Is it worth it?
How can I transfer money from an SBI ATM (SBI account) to another bank account?,Is it possible to transfer funds from one account (say SBI) to another (say HDFC) through ATMs?
I have rushed directly to th10 from a max th8. I'm not able to farm and barely get any resources. Any tips on how to fix my base and improve the loot?,How do I get a good loot in clash of clans?
I am an introvert and I look very young although I have 10 years of work experience. Are there any tips to look and act more senior?,I'm a petite 32-year-old woman who looks very young despite 10 years of work experience. It's a disadvantage in my profession. What are some ways to look/act older and more authoritative?
If there will be a war between India and Pakistan who will win?,Who would win an all out war between Pakistan and India if no other country got involved?
How should I study (give me a study plan) for 1st year mbbs?,How should I study to pass the first Semester of the 1st year of MBBS?
What are some best examples of Presence of mind?,What are some of the examples of presence of mind?
Is the Newtons third law valid in non-inertial frame? Justify.,Is Newton's Third Law applicable in non-inertial frames?
What are the benefits of Harty capsules made by Lupin Pharmaceuticals?,Why is Capsule Arrant 4G taken for ?
What is the package for management trainee in DAMCO?,How is it to work as a Management trainee in BlueStar?
Was the TV show 'Movers and Shakers' an idea copied from The Tonight Show?,"What's your favorite scene from a TV show, and why?"
How do I find heroes in my life?,What should I do to be proactive at my new job?
What is the difference between a nerd and an intelligent person?,What is the difference between Curiosity and Intelligence?
How can learn English?,How can I learn English well?
How do I build a self confidence?,How do you raise self confidence?
Which type of foundation is used in Indo-pak border?,What is the best city/town/state where an Computer Engineer can earn good salary and have a big backyards and stuff?
Can I study in New Zealand and work in Australia?,How did the Jews and Christian were treated in Saudi Arabia back then?
"What hotel in Saharanpur would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Chandigarh would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?"
Do People flirt using Quora?,Do people flirt with other people on Quora?
Is it good to use Dettol liquid in bathing water?,Is dettol bar soap good for daily use?
Is it healthy to sleep by covering your head fully by a blanket?,Is it harmful to sleep head facing north?
"What are differences between the Paleolithic, and Neolithic time periods?",Where is the source of the chalk for Neolithic chalk balls?
How are violin strings made?,What are violin strings made of?
Is water actually blue?,Why is water blue?
What will happen when we run out natural resources?,How long can humans keep wasting natural resources before they all run out?
How do Uber and Lyft compare in 2016?,How did Uber and Lyft become comparable?
What are the reasons behind most Indians being against Barkha Dutt (and NDTV)?,Why do Indians generally hate NDTV journalist Barkha Dutt so much?
How do I set up business with paytm?,How should we set up this business?
Why do people still think the the world is flat?,Why do some people today still believe that the Earth is flat? What evidence has convinced them that this is so?
